bin_center,sigma,d_sigma
1475000.0,0.0015449267962357003,3.410657006450281e-05
1485000.0,0.001558844779434,3.422072614875663e-05
1495000.0,0.0015588489917984002,3.637813618276883e-05
1505000.0,0.0016951065020335,6.0876089358837466e-05
1515000.0,0.0017319962816132,6.348202874306453e-05
1525000.0,0.0017258572858548,4.396032875713347e-05
1535000.0,0.0018096744720492999,3.644044074502919e-05
1545000.0,0.001845812229753,3.6556241727083784e-05
1555000.0,0.0019370220659298003,3.90556980482455e-05
1565000.0,0.0019834137133725,3.141502709279712e-05
1575000.0,0.0020671477473669,2.7338406113514174e-05
1585000.0,0.0030905877773581003,3.259846085474501e-05
1595000.0,0.0032020650733045,3.417997852369769e-05
1605000.0,0.0023559362734535,2.933761753957463e-05
1615000.0,0.0024135397426212,2.971198658818294e-05
1625000.0,0.0025473826632115,3.168161468802189e-05
1635000.0,0.0026596670093268,3.852989999145243e-05
1645000.0,0.0026391242300303004,4.488538555219287e-05
1655000.0,0.0027810286837997005,4.630472121449185e-05
1665000.0,0.0029852172551881,4.74989900401175e-05
1675000.0,0.0030957209647643,4.868932347969438e-05
1685000.0,0.0032902414959055004,4.8975669426179594e-05
1695000.0,0.0034114395079706,5.094268228909624e-05
1705000.0,0.0035732840769432,5.074900362231294e-05
1715000.0,0.0039205692278188,4.064570710075306e-05
1725000.0,0.0042572797707339,3.968554047717429e-05
1735000.0,0.0047628472150478,4.220945006531814e-05
1745000.0,0.0053219328399318,4.7967945403998e-05
1755000.0,0.0051508469723599,4.3988420743492496e-05
1765000.0,0.005174294018924,4.377867690071711e-05
1775000.0,0.0052730924942052,4.454531167302008e-05
1785000.0,0.0054484911233773,4.46583673797145e-05
1795000.0,0.0058212326467519,5.067707087542139e-05
1805000.0,0.0062171342651762,6.697752804467238e-05
1815000.0,0.0065626491939808,6.990473969350338e-05
1825000.0,0.0069437784866837006,7.364319034892979e-05
1835000.0,0.007460313754530601,7.454761632486619e-05
1845000.0,0.0079631454138869,7.711105131750403e-05
1855000.0,0.0083513853373537,7.726858202679643e-05
1865000.0,0.0089799363500117,8.017966836263082e-05
1875000.0,0.0097262965827967,8.386344115948058e-05
1885000.0,0.0106906855694447,8.835811439013531e-05
1895000.0,0.011319148821387,9.188589155906146e-05
1905000.0,0.0121558449752416,9.604455205919158e-05
1915000.0,0.013045276477982011,9.980570157025022e-05
1925000.0,0.014028150807386697,0.00010020080835669317
1935000.0,0.015197863304334442,0.000105569500598878
1945000.0,0.01649287875287068,0.00011130250087471762
1955000.0,0.01819372308091536,0.000141558846091182
1965000.0,0.019891539634138828,0.00017370127890995328
1975000.0,0.021408700316567345,0.00017890913531082363
1985000.0,0.023622300296223236,0.00018826071289399128
1995000.0,0.02581232292869734,0.0001995984029833461
2005000.0,0.02857252026630565,0.00020238028441352327
2015000.0,0.031538298076388166,0.00021638374438097885
2025000.0,0.03440602406410766,0.00022588854517796556
2035000.0,0.03833658261111446,0.0002366050355800544
2045000.0,0.04245472915131691,0.00025142320818523643
2055000.0,0.04696452111309234,0.00026826090310202023
2065000.0,0.051728364490813916,0.0002762841950028012
2075000.0,0.05505259594595756,0.0002917982434412064
2085000.0,0.05729029209708966,0.00028933866939449436
2095000.0,0.05699505175196169,0.00028592819570320155
2105000.0,0.05541616658398019,0.00028446064191765585
2115000.0,0.05303414224104132,0.00028651210530899655
2125000.0,0.050884573105036836,0.0002728034862239971
2135000.0,0.0484171691157287,0.0002641995957356495
2145000.0,0.046977251141551234,0.0002691793832948128
2155000.0,0.046934292978271,0.0002602144286932337
2165000.0,0.04736195164791056,0.00026137713298023937
2175000.0,0.04878426198657905,0.00027352151764637426
2185000.0,0.052844184383900976,0.00028421995785671647
2195000.0,0.0591453904061732,0.00029229821962311074
2205000.0,0.0672792679982214,0.00030777176979178097
2215000.0,0.07644136777925244,0.000332565957057745
2225000.0,0.08582703225385682,0.00036071689341415057
2235000.0,0.09210168428314582,0.0003723511558810297
2245000.0,0.09445323060167068,0.00037637471830213816
2255000.0,0.0927115192694473,0.0003661872577295556
2265000.0,0.08787939516439319,0.0003636357359022708
2275000.0,0.08210254386737821,0.0003396216031600477
2285000.0,0.07747307790034803,0.0003321059537973431
2295000.0,0.07239198477176727,0.0003273626739024252
2305000.0,0.0694602102932152,0.00032555677209950674
2315000.0,0.06677951390685467,0.0003229498744392494
2325000.0,0.06473720488284317,0.0003089160749772649
2335000.0,0.06488931312280773,0.0003091598193717126
2345000.0,0.06544512570134689,0.00030997330234131324
2355000.0,0.06762984867307127,0.00031560837272078186
2365000.0,0.07025761820253254,0.00032024866782212673
2375000.0,0.07487048167398658,0.0003299610733647585
2385000.0,0.08011336754377792,0.0003442850110599605
2395000.0,0.08502281362941663,0.00035190784130812716
2405000.0,0.08693580936007753,0.00035478063218764546
2415000.0,0.08531605341806762,0.0003545291402703688
2425000.0,0.08072296743011982,0.0003447974966163013
2435000.0,0.07337503474982729,0.0003332128333728293
2445000.0,0.06428766820003047,0.00030682967574877134
2455000.0,0.0551431065360865,0.0002818116472552596
2465000.0,0.04852452030634756,0.0002705918861133595
2475000.0,0.042889845616207456,0.00025117061569092126
2485000.0,0.03884195999306011,0.00024115405599737757
2495000.0,0.035455391279779154,0.0002321364546514752
2505000.0,0.032764760336897084,0.00021683431436679063
2515000.0,0.03033548683944115,0.00021171404025465047
2525000.0,0.028725630210079532,0.00020851858168299586
2535000.0,0.02767189494296777,0.00020187417837645063
2545000.0,0.026531575194891667,0.00019963920389197935
2555000.0,0.026013584530521838,0.0001952922861289096
2565000.0,0.026088326585225523,0.00019699208492086925
2575000.0,0.027201579194010013,0.0002037626111731297
2585000.0,0.03418328521982779,0.00022334626512458347
2595000.0,0.05539939194590028,0.00028544633641331254
2605000.0,0.0690745707940362,0.00032345856909450236
2615000.0,0.04751307182113196,0.000262530130799766
2625000.0,0.03204235077976881,0.0002187760445190258
2635000.0,0.02719110086585683,0.00020050660041046422
2645000.0,0.025622438177299627,0.00019449703853533163
2655000.0,0.025856944213030232,0.0001972903835534241
2665000.0,0.032961006289265,0.00021460296930913387
2675000.0,0.06854507633994915,0.0003202678844076408
2685000.0,0.07027974742743029,0.000329956036738447
2695000.0,0.0344377909298502,0.00022141436110208876
2705000.0,0.025930197402705024,0.00019384996985959913
2715000.0,0.023568476578610446,0.00018640135088958228
2725000.0,0.022171924130210945,0.0001812086854021363
2735000.0,0.022802179354139866,0.00018483424795518905
2745000.0,0.02575819520167511,0.00019582969583339268
2755000.0,0.040802486876064414,0.00023965772941348068
2765000.0,0.06321701309478757,0.00031342058887928704
2775000.0,0.04498804774514581,0.00024988307810300074
2785000.0,0.034229109360995276,0.00022010411560624112
2795000.0,0.05401710338945025,0.00026528033772837414
2805000.0,0.1363925702518405,0.00046242328299613065
2815000.0,0.12310058384871182,0.000433176044520418
2825000.0,0.04715796008434316,0.000249779487970687
