XS (b),dXS (b),Ea (eV),dEa (eV)
6.833599999999999e-02,5.752000000000000e-04,2.361100000000000e+06,3.541650000000000e+03
7.056000000000000e-02,5.832000000000001e-04,2.366100000000000e+06,3.549150000000000e+03
7.334400000000001e-02,5.952000000000000e-04,2.371100000000000e+06,3.556650000000000e+03
7.522400000000001e-02,6.032000000000000e-04,2.376100000000000e+06,3.564150000000000e+03
7.850400000000000e-02,6.160000000000000e-04,2.381100000000000e+06,3.571650000000000e+03
8.072000000000001e-02,6.240000000000000e-04,2.386100000000000e+06,3.579150000000000e+03
8.400000000000001e-02,6.368000000000001e-04,2.391100000000000e+06,3.586650000000000e+03
8.568000000000001e-02,6.432000000000000e-04,2.397100000000000e+06,3.595650000000000e+03
8.776000000000000e-02,6.504000000000001e-04,2.401100000000000e+06,3.601650000000000e+03
8.720000000000000e-02,6.488000000000000e-04,2.407100000000000e+06,3.610650000000000e+03
8.624000000000001e-02,6.456000000000001e-04,2.412100000000000e+06,3.618150000000000e+03
8.488000000000001e-02,6.408000000000000e-04,2.417100000000000e+06,3.625650000000000e+03
8.352000000000001e-02,6.352000000000000e-04,2.422200000000000e+06,3.633300000000000e+03
7.877600000000001e-02,6.168000000000000e-04,2.427200000000000e+06,3.640800000000000e+03
7.616000000000001e-02,6.064000000000000e-04,2.432200000000000e+06,3.648300000000000e+03
7.064000000000001e-02,5.848000000000000e-04,2.438200000000000e+06,3.657300000000000e+03
6.693600000000000e-02,5.696000000000000e-04,2.443200000000000e+06,3.664800000000000e+03
6.076800000000000e-02,5.432000000000001e-04,2.448200000000000e+06,3.672300000000000e+03
5.607200000000000e-02,5.224000000000000e-04,2.453200000000000e+06,3.679800000000000e+03
5.273600000000001e-02,5.056000000000000e-04,2.458200000000000e+06,3.687300000000000e+03
4.948800000000000e-02,4.904000000000001e-04,2.463200000000000e+06,3.694800000000000e+03
4.591200000000000e-02,4.728000000000001e-04,2.469200000000000e+06,3.703800000000000e+03
4.302400000000001e-02,4.584000000000001e-04,2.474200000000000e+06,3.711300000000000e+03
4.120800000000000e-02,4.496000000000000e-04,2.479200000000000e+06,3.718800000000000e+03
3.911200000000001e-02,4.376000000000000e-04,2.484200000000000e+06,3.726300000000000e+03
3.688800000000000e-02,4.248000000000000e-04,2.489200000000000e+06,3.733800000000000e+03
3.576800000000000e-02,4.184000000000000e-04,2.495200000000000e+06,3.742800000000000e+03
3.384000000000000e-02,4.080000000000001e-04,2.500200000000000e+06,3.750300000000000e+03
3.284000000000000e-02,4.016000000000000e-04,2.505200000000000e+06,3.757800000000000e+03
3.154400000000000e-02,3.944000000000000e-04,2.510200000000000e+06,3.765300000000000e+03
2.997600000000000e-02,3.848000000000000e-04,2.515200000000000e+06,3.772800000000000e+03
2.944000000000000e-02,3.816000000000000e-04,2.520200000000000e+06,3.780300000000000e+03
2.850400000000000e-02,3.760000000000000e-04,2.526200000000000e+06,3.789300000000000e+03
2.820800000000000e-02,3.728000000000000e-04,2.531200000000000e+06,3.796800000000000e+03
2.766400000000000e-02,3.696000000000000e-04,2.536200000000000e+06,3.804300000000000e+03
2.683200000000000e-02,3.648000000000000e-04,2.541200000000000e+06,3.811800000000000e+03
2.656000000000000e-02,3.632000000000000e-04,2.547200000000000e+06,3.820800000000000e+03
2.560000000000000e-02,3.560000000000000e-04,2.552200000000000e+06,3.828300000000000e+03
2.620800000000000e-02,3.608000000000000e-04,2.557200000000000e+06,3.835800000000000e+03
2.633600000000000e-02,3.616000000000000e-04,2.562200000000000e+06,3.843300000000000e+03
2.572000000000000e-02,3.568000000000000e-04,2.568200000000000e+06,3.852300000000000e+03
2.675200000000000e-02,3.640000000000000e-04,2.573200000000000e+06,3.859800000000000e+03
2.774400000000000e-02,3.704000000000000e-04,2.578200000000000e+06,3.867300000000000e+03
3.018400000000000e-02,3.856000000000000e-04,2.584200000000000e+06,3.876300000000000e+03
3.903200000000000e-02,4.376000000000000e-04,2.589200000000000e+06,3.883800000000000e+03
5.298400000000000e-02,5.080000000000001e-04,2.594200000000000e+06,3.891300000000000e+03
7.350400000000000e-02,5.976000000000001e-04,2.600200000000000e+06,3.900300000000000e+03
7.727200000000001e-02,6.128000000000000e-04,2.605200000000000e+06,3.907800000000000e+03
5.871200000000000e-02,5.344000000000000e-04,2.610200000000000e+06,3.915300000000000e+03
4.367200000000000e-02,4.624000000000000e-04,2.615200000000000e+06,3.922800000000000e+03
3.405600000000000e-02,4.096000000000000e-04,2.621200000000000e+06,3.931800000000000e+03
3.092000000000000e-02,3.912000000000000e-04,2.626200000000000e+06,3.939300000000000e+03
2.788800000000000e-02,3.720000000000000e-04,2.631200000000000e+06,3.946800000000000e+03
2.621600000000000e-02,3.608000000000000e-04,2.637200000000000e+06,3.955800000000000e+03
2.595200000000000e-02,3.592000000000001e-04,2.642200000000000e+06,3.963300000000000e+03
2.506400000000000e-02,3.528000000000000e-04,2.648200000000000e+06,3.972300000000000e+03
2.588000000000000e-02,3.592000000000001e-04,2.653200000000000e+06,3.979800000000000e+03
2.573600000000000e-02,3.584000000000000e-04,2.658200000000000e+06,3.987300000000000e+03
2.796800000000000e-02,3.728000000000000e-04,2.664200000000000e+06,3.996300000000000e+03
3.512000000000001e-02,4.160000000000000e-04,2.669200000000000e+06,4.003800000000000e+03
6.802400000000000e-02,5.752000000000000e-04,2.674300000000000e+06,4.011450000000000e+03
1.081600000000000e-01,7.232000000000000e-04,2.680300000000000e+06,4.020450000000000e+03
6.396000000000000e-02,5.584000000000000e-04,2.685300000000000e+06,4.027950000000000e+03
3.874400000000000e-02,4.360000000000000e-04,2.691300000000000e+06,4.036950000000000e+03
2.992800000000000e-02,3.856000000000000e-04,2.696300000000000e+06,4.044450000000000e+03
2.636000000000000e-02,3.624000000000000e-04,2.701300000000000e+06,4.051950000000000e+03
2.500000000000000e-02,3.536000000000000e-04,2.707300000000000e+06,4.060950000000000e+03
2.440800000000000e-02,3.488000000000000e-04,2.712300000000000e+06,4.068450000000000e+03
2.264800000000000e-02,3.368000000000000e-04,2.718300000000000e+06,4.077450000000000e+03
2.215200000000000e-02,3.336000000000000e-04,2.723300000000000e+06,4.084950000000000e+03
2.171200000000000e-02,3.304000000000000e-04,2.729300000000000e+06,4.093950000000000e+03
2.293600000000000e-02,3.400000000000000e-04,2.734300000000000e+06,4.101450000000000e+03
