XS (b),dXS (b),Ea (eV),dEa (eV)
1.135000000000000e-02,1.822184403401588e-03,3.491003364676203e+06,6.982006729352405e+03
8.720000000000000e-03,1.405518779668205e-03,3.510050428535359e+06,7.020100857070717e+03
7.580000000000000e-03,1.219747449269725e-03,3.520067150195533e+06,7.040134300391066e+03
6.490000000000000e-03,1.045310748055333e-03,3.530083871855707e+06,7.060167743711415e+03
5.040000000000000e-03,8.138679008291211e-04,3.550117315176055e+06,7.100234630352111e+03
4.620000000000000e-03,7.459334018530072e-04,3.559140011022625e+06,7.118280022045249e+03
3.700000000000000e-03,5.973809504830230e-04,3.579173454342973e+06,7.158346908685947e+03
3.070000000000000e-03,4.961627152457145e-04,3.599206897663321e+06,7.198413795326644e+03
3.280000000000000e-03,5.308625434140178e-04,3.619247987336082e+06,7.238495974672165e+03
1.104000000000000e-02,1.774561624740037e-03,3.639289077008843e+06,7.278578154017687e+03
4.530000000000000e-03,7.316659346997098e-04,3.660324192495209e+06,7.320648384990419e+03
4.310000000000000e-03,6.968128586643618e-04,3.679355963649540e+06,7.358711927299080e+03
3.406000000000000e-02,5.468147781470431e-03,3.699397053322301e+06,7.398794106644602e+03
1.360000000000000e-03,2.196582800624643e-04,3.889752996627673e+06,7.779505993255347e+03
2.400000000000000e-03,3.860777123844369e-04,3.939844251280956e+06,7.879688502561913e+03
5.250000000000000e-03,8.438009243891595e-04,3.990944824452670e+06,7.981889648905340e+03
8.189999999999999e-03,1.315008806054165e-03,4.043024130733163e+06,8.086048261466327e+03
2.054000000000000e-02,3.297472510878597e-03,4.091096748349587e+06,8.182193496699175e+03
7.740000000000000e-03,1.243275737718709e-03,4.146188717480545e+06,8.292377434961092e+03
6.570000000000000e-03,1.055045705171108e-03,4.191256318598917e+06,8.382512637197835e+03
6.970000000000000e-03,1.123953308638753e-03,4.277384832171591e+06,8.554769664343183e+03
7.640000000000000e-03,1.232826735595882e-03,4.296416603325922e+06,8.592833206651843e+03
1.076000000000000e-02,1.732052701276725e-03,4.319447416791910e+06,8.638894833583821e+03
1.576000000000000e-02,2.531178887396147e-03,4.338479187946241e+06,8.676958375892484e+03
3.205000000000000e-02,5.143576965497844e-03,4.356509286934555e+06,8.713018573869109e+03
8.590000000000000e-02,1.377960942842721e-02,4.376535083902491e+06,8.753070167804983e+03
6.934000000000000e-02,1.112768220969668e-02,4.397562553036445e+06,8.795125106072890e+03
3.422000000000000e-02,5.494489515869514e-03,4.406585248883014e+06,8.813170497766028e+03
2.388000000000000e-02,3.831045893747555e-03,4.419606987041241e+06,8.839213974082482e+03
2.361000000000000e-02,3.786536908574905e-03,4.420608659207257e+06,8.841217318414514e+03
1.216000000000000e-02,1.951373711004635e-03,4.442637800507229e+06,8.885275601014459e+03
9.020000000000000e-03,1.446660374794305e-03,4.462663597475165e+06,8.925327194950329e+03
6.410000000000000e-03,1.028715393099569e-03,4.481695368629496e+06,8.963390737258993e+03
6.220000000000000e-03,9.984102563575757e-04,4.500727139783827e+06,9.001454279567653e+03
6.650000000000000e-03,1.067003280219888e-03,4.524751979063421e+06,9.049503958126843e+03
8.040000000000000e-03,1.289544477712964e-03,4.542782078051734e+06,9.085564156103468e+03
4.778000000000000e-02,7.663848056948937e-03,4.591848721481763e+06,9.183697442963527e+03
2.314000000000000e-02,3.715355401573314e-03,4.640907718559380e+06,9.281815437118761e+03
3.816000000000000e-02,6.126038798440637e-03,4.692971732135048e+06,9.385943464270096e+03
1.264700000000000e-01,2.027820798394177e-02,4.990353670156038e+06,9.980707340312078e+03
8.715000000000001e-02,1.397366222577317e-02,5.010387113476386e+06,1.002077422695277e+04
7.811000000000000e-02,1.252382153178494e-02,5.032408608423945e+06,1.006481721684789e+04
8.054000000000000e-02,1.291374867960501e-02,5.052426759039469e+06,1.010485351807894e+04
8.749000000000000e-02,1.402794719693512e-02,5.072444909654993e+06,1.014488981930999e+04
9.773000000000000e-02,1.567003236244265e-02,5.092478352975341e+06,1.018495670595068e+04
1.099800000000000e-01,1.763368850354343e-02,5.113498175756882e+06,1.022699635151376e+04
1.237200000000000e-01,1.983718838545423e-02,5.132514654206389e+06,1.026502930841278e+04
1.356700000000000e-01,2.175359583701049e-02,5.152532804821912e+06,1.030506560964383e+04
1.420900000000000e-01,2.278252276109913e-02,5.171556929623831e+06,1.034311385924766e+04
1.443100000000000e-01,2.313892236384400e-02,5.191575080239355e+06,1.038315016047871e+04
1.383000000000000e-01,2.217480516261643e-02,5.212602549373308e+06,1.042520509874662e+04
1.349800000000000e-01,2.164277870884420e-02,5.220615926701448e+06,1.044123185340290e+04
1.302800000000000e-01,2.088911886700825e-02,5.232628346341244e+06,1.046525669268249e+04
1.266200000000000e-01,2.030280977204879e-02,5.241635749482988e+06,1.048327149896598e+04
1.225900000000000e-01,1.965612086246928e-02,5.251644824790751e+06,1.050328964958150e+04
1.190400000000000e-01,1.908672190188771e-02,5.263657244430548e+06,1.052731448886110e+04
1.175300000000000e-01,1.884498349800286e-02,5.272664647572292e+06,1.054532929514458e+04
1.171100000000000e-01,1.877727492901992e-02,5.281672050714036e+06,1.056334410142807e+04
1.259000000000000e-01,2.018655086932882e-02,5.291681126021799e+06,1.058336225204360e+04
1.689300000000000e-01,2.708604122864764e-02,5.311714569342147e+06,1.062342913868429e+04
1.322400000000000e-01,2.120270715168231e-02,5.322725316815926e+06,1.064545063363185e+04
1.179100000000000e-01,1.890565426955650e-02,5.341741795265432e+06,1.068348359053086e+04
1.330100000000000e-01,2.132694536402248e-02,5.372778339707147e+06,1.074555667941429e+04
1.666200000000000e-01,2.671527362090832e-02,5.402813211982845e+06,1.080562642396569e+04
1.840400000000000e-01,2.950892869895483e-02,5.418824673934299e+06,1.083764934786860e+04
1.853700000000000e-01,2.972257971038180e-02,5.441855487400288e+06,1.088371097480058e+04
1.992000000000000e-01,3.194045215710009e-02,5.462875310181829e+06,1.092575062036366e+04
2.053600000000000e-01,3.292786628009777e-02,5.481891788631336e+06,1.096378357726267e+04
1.615700000000000e-01,2.590638225302792e-02,5.502926904117702e+06,1.100585380823540e+04
1.054000000000000e-01,1.689983715897878e-02,5.531944811522557e+06,1.106388962304512e+04
8.044999999999999e-02,1.289937920986898e-02,5.564977053943896e+06,1.112995410788779e+04
7.216000000000000e-02,1.156929035680236e-02,5.593000935535146e+06,1.118600187107029e+04
